Model,num_jobs,num_tools,magazine_capacity,time
JGSMF,9,25,20,0.0623996
JGSMF,9,25,15,3.0482822
JGSMF,9,20,10,1.3485844
JGSMF,9,20,15,0.10180039999999999
JGSMF,9,15,10,0.8548134
JGSMF,9,25,10,3.0790946
JGSMF,9,15,5,0.33138100000000004
JGSMF,9,25,5,0.0558002
JGSMF,9,20,5,0.2606458
JGSMF_1,9,25,20,0.40332280000000004
JGSMF_1,9,25,15,0.995736
JGSMF_1,9,20,10,0.7213666000000001
JGSMF_1,9,20,15,0.1471994
JGSMF_1,9,15,10,0.5229324
JGSMF_1,9,25,10,0.474317
JGSMF_1,9,15,5,0.2695316
JGSMF_1,9,25,5,0.0328
JGSMF_1,9,20,5,0.15719980000000003
JGSMF_2,9,25,20,0.5007168
JGSMF_2,9,25,15,0.9966891999999999
JGSMF_2,9,20,10,0.7141268000000001
JGSMF_2,9,20,15,0.342698
JGSMF_2,9,15,10,0.46302379999999993
JGSMF_2,9,25,10,0.5242216
JGSMF_2,9,15,5,0.3346824
JGSMF_2,9,25,5,0.0368004
JGSMF_2,9,20,5,0.1555016
JGSMF_3,9,25,20,0.2714
JGSMF_3,9,25,15,0.0471998
JGSMF_3,9,20,10,0.033600000000000005
JGSMF_3,9,20,15,0.1030392
JGSMF_3,9,15,10,0.0335996
JGSMF_3,9,25,10,0.2974
JGSMF_3,9,15,5,0.028200000000000003
JGSMF_3,9,25,5,0.0347026
JGSMF_3,9,20,5,0.026722000000000003
