Model,num_jobs,num_tools,magazine_capacity,time
SSPMF,9,15,10,23.772889000000003
SSPMF,9,25,20,15.1851076
SSPMF,9,25,15,22.498249
SSPMF,9,20,10,8.8622838
SSPMF,9,15,5,0.1170204
SSPMF,9,20,15,0.2392004
SSPMF,9,25,5,0.9128040000000001
SSPMF,9,25,10,2.7015346
SSPMF,9,20,5,9.785727400000003
JGSMF,9,15,10,0.7583285999999999
JGSMF,9,25,20,1.290494
JGSMF,9,25,15,3.7527928000000004
JGSMF,9,20,10,20.569698799999998
JGSMF,9,15,5,0.1800076
JGSMF,9,20,15,0.6579858000000001
JGSMF,9,25,5,0.685795
JGSMF,9,25,10,1.057099
JGSMF,9,20,5,5.1255796
